table,start,stop,time,value,Ofen,field,measurement
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:33Z,14203.321,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:34Z,14485.924,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:37Z,14409.498,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:45Z,14455.812,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:50Z,14432.715,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:51Z,14055.787,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:52Z,819.244,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:53Z,13915.62,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:54Z,817.141,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:55Z,814.55,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:56Z,14053.65,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:58Z,816.922,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:31:59Z,14423.244,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:09Z,13870.268,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:11Z,14210.942,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:12Z,806.677,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:15Z,13965.988,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:16Z,812.986,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:18Z,13972.01,Gifas_WBH,Scheinleistung,Energiedaten_WBH
0,2025-06-16T02:20:02.884431416Z,2025-06-16T14:20:02.884431416Z,2025-06-16T07:32:19Z,14383.76,Gifas_WBH,Scheinleistung,Energiedaten_WBH
